documento|nome|contrato|ValorContrato|ContratoPlano|ValorParcela|DataVencimento
76748291623|Bryan Barros|CX-287157746696447087647084574665383433006|38610|10|3861|2018-05-21
21056684887|Maria Julia da Rosa|CX-61718558756223880664003750480258706095|9464|4|2366|2018-05-08
31133201431|Anthony Melo|CX-163731311009942175702867182050398914445|14285|5|2857|2018-05-05
94110246446680|Dr. Augusto Silveira|CX-182496437548146647700452378699383440824|37158|22|1689|2018-04-05
64431473462766|Maysa Lopes|CX-81229770554257118009833799243087140596|21284|17|1252|2018-03-06
38126148919828|Daniela Aragão|CX-304555349165196280157643113700579118070|40944|24|1706|2018-03-01
57595143212710|Ana Carolina Almeida|CX-175076307755910288500548941104671332017|135014|19|7106|2018-07-23
77420034167536|Ana Julia Azevedo|CX-179264230443380089496503896401109770254|1012|4|253|2018-04-11
12629454964414|Gabriel Porto|CX-154671299842343014589733237427487202585|78256|8|9782|2018-07-19
63780406371560|Dra. Carolina Alves|CX-229472024676492141273995221330621273418|180113|23|7831|2018-09-17
21323098330|Alexia Rocha|CX-225726111799893734157808051412516992509|6574|1|6574|2018-01-02
79059093011|Eduardo Barbosa|CX-153270110718589589174587761530251374321|84285|9|9365|2018-11-23
24731771820181|Kaique Novaes|CX-67682040008045143764878572822829814701|20280|8|2535|2018-01-07
97251687631|Marina Araújo|CX-54877496276326528319431687984199634074|54712|14|3908|2018-05-06
89521154659|Bruno Castro|CX-335965550099232809619764986538655816069|30488|4|7622|2018-09-14
43834568201|Maria Julia Novaes|CX-318842261840538242657245011965564746678|37950|10|3795|2018-03-11
75033218140|Sophie Rocha|CX-1857925696668540142522003852362802409|58620|15|3908|2018-12-02
13166406204|Vinicius Cavalcanti|CX-75445333699670839948717339117841748292|9438|22|429|2018-03-08
22327794676|Henrique Pires|CX-310686777540398760492093007678222181582|27321|21|1301|2018-06-15
11035036770|Sofia Lima|CX-121581629055029498218960815593621048621|39225|5|7845|2018-03-19
35513409275|Heitor Sales|CX-72088151859820829138602418889001234793|10380|6|1730|2018-06-22
71558836216084|Ana Laura Pinto|CX-112095705976658263759791146921383550939|5208|24|217|2018-02-13
18617608373150|Alexandre da Mota|CX-288011295138990867708764174746300534632|25041|3|8347|2018-07-24
48711688408|Dr. Diego Santos|CX-133806751671388841949187355052934310662|19733|7|2819|2018-08-24
40950870137|Ana Júlia da Luz|CX-184304499750691418425157595191090319152|190854|23|8298|2018-10-24
98063084411|Dra. Eduarda Alves|CX-224549214080465375626863307533785545277|108330|15|7222|2018-06-15
35864650412|Ana Laura das Neves|CX-157841798599802510559596464001738123632|31866|6|5311|2018-03-18
55522737504121|Maria Vitória Cardoso,|CX-132957426826138144291651182076230415228|0|0|7341|2018-07-19
39556716245647|Ian Duarte|CX-18808660948347468728305331117893720135|19332|12|1611|2018-01-09
73480832180|Antônio Moreira|CX-23554082979605958479371086136192510479|78420|15|5228|2018-01-22
11330512863|Vitória Castro|CX-138749633162569674650302984265103328197|8316|18|462|2018-01-24
89742784302|Diego Ribeiro|CX-225077755116874128698320137106222131838|45832|8|5729|2018-06-16
50801101476|Maria Vieira|CX-98894704321710792406435214372004469439|81288|12|6774|2018-06-07
97623886517962|Srta. Daniela Silveira|CX-192515832813011694949735856598558349720|98318|11|8938|2018-11-10
61546812090449|Gabriel Moura|CX-304760607933396790270910356228482350043|42250|13|3250|2018-10-18
67553200555446|Mirella Duarte|CX-47140576123860154894669512134607589295|72808|8|9101|2018-11-03
60589636480|Renan Nogueira|CX-120692912517434321458237300703833844191|32544|4|8136|2018-10-05
47971725349835|Laura Souza|CX-170151444623918294563403051890160466039|106434|18|5913|2018-11-23
83266812379|Bruna Mendes|CX-311716936865801674736375953086215866427|134799|21|6419|2018-02-12
24006398618020|Dra. Bruna Castro|CX-109365509605176903643118269796748142104|1710|15|114|2018-08-11
47178580589705|Miguel Campos|CX-105234305881802770025575689487334554320|19323|9|2147|2018-04-06
83973913471|Camila Moraes|CX-111554709727076400843935725501757787685|69460|20|3473|2018-02-22
58332351756624|Isabelly Lopes|CX-300444212029199856535839413424439389948|0|0|1875|2018-06-11
68956875804|Yasmin Pereira|CX-152338650279341613429320833245845396041|45815|7|6545|2018-01-16
57540109710349|João Nunes|CX-89244573747039862884075862896363316856|3272|8|409|2018-06-25
96179850984|Isis Costa|CX-177187503941431482669367805173947747273|0|0|468|2018-09-10
24776823630868|Srta. Maria Fernanda Jesus|CX-332904679249444015717753778864822300783|1156|4|289|2018-08-25
32176725344|Guilherme da Costa|CX-29401193762317788028926640264918294048|17760|16|1110|2018-12-08
36244811640168|Luna Freitas|CX-155610375812350918252625243812685174870|91611|13|7047|2018-07-24
56186144230720|Valentina Silva|CX-274501212807059238167686249752319329884|58960|11|5360|2018-07-07
87691757050|Davi Freitas|CX-79938042058557476646289181693853449521|52273|13|4021|2018-03-16
65196201491|Natália Rocha|CX-121715975120325957178278001517991815330|29100|20|1455|2018-06-07
56128420344200|Maysa Azevedo|CX-7348212811124874402715877389014452281|3232|2|1616|2018-04-23
07534701015|Cauã Pinto|CX-145672137972344725754706788820810956538|38434|11|3494|2018-04-15
66739801843|Julia Lima|CX-234612271020432514186674637641334306095|18450|3|6150|2018-04-02
91830932497|Alexandre Gonçalves|CX-316204374345214338987289011003828718659|181713|21|8653|2018-08-01
